target,predictors,model
COG_Lat_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)",model1
COG_depth_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)",model2
COG_Lat_fall,"s(bt_anomaly,k=10)+s(pseudo_100m3,k=10)",model3
COG_depth_fall,"s(bt_anomaly,k=10)+s(pseudo_100m3,k=10)",model4
COG_Lat_fall,"s(bt_anomaly,k=10)+s(SSB,k=10)",model5
COG_depth_fall,"s(bt_anomaly,k=10)+s(SSB,k=10)",model6
COG_Lat_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)",model7
COG_depth_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)",model8
COG_Lat_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)",model9
COG_depth_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)",model10
COG_Lat_fall,"s(sst_anomaly,k=10)+s(pseudo_100m3,k=10)",model11
COG_depth_fall,"s(sst_anomaly,k=10)+s(pseudo_100m3,k=10)",model12
COG_Lat_fall,"s(sst_anomaly,k=10)+s(SSB,k=10)",model13
COG_depth_fall,"s(sst_anomaly,k=10)+s(SSB,k=10)",model14
COG_Lat_fall,"s(Heatwave,k=10)+s(GSI,k=10)",model15
COG_depth_fall,"s(Heatwave,k=10)+s(GSI,k=10)",model16
COG_Lat_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)",model17
COG_depth_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)",model18
COG_Lat_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)",model19
COG_depth_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)",model20
COG_Lat_fall,"s(Heatwave,k=10)+s(SSB,k=10)",model21
COG_depth_fall,"s(Heatwave,k=10)+s(SSB,k=10)",model22
COG_Lat_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)",model23
COG_depth_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)",model24
COG_Lat_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)",model25
COG_depth_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)",model26
COG_Lat_fall,"s(GSI,k=10)+s(SSB,k=10)",model27
COG_depth_fall,"s(GSI,k=10)+s(SSB,k=10)",model28
COG_Lat_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model29
COG_depth_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model30
COG_Lat_fall,"s(calfin_100m3,k=10)+s(SSB,k=10)",model31
COG_depth_fall,"s(calfin_100m3,k=10)+s(SSB,k=10)",model32
COG_Lat_fall,"s(pseudo_100m3,k=10)+s(SSB,k=10)",model33
COG_depth_fall,"s(pseudo_100m3,k=10)+s(SSB,k=10)",model34
COG_Lat_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model35
COG_depth_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model36
COG_Lat_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model37
COG_depth_fall,"s(bt_anomaly,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model38
COG_Lat_fall,"s(bt_anomaly,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model39
COG_depth_fall,"s(bt_anomaly,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model40
COG_Lat_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(calfin_100m3,k=10)",model41
COG_depth_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(calfin_100m3,k=10)",model42
COG_Lat_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(pseudo_100m3,k=10)",model43
COG_depth_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(pseudo_100m3,k=10)",model44
COG_Lat_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(SSB,k=10)",model45
COG_depth_fall,"s(sst_anomaly,k=10)+s(GSI,k=10)+s(SSB,k=10)",model46
COG_Lat_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model47
COG_depth_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model48
COG_Lat_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model49
COG_depth_fall,"s(sst_anomaly,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model50
COG_Lat_fall,"s(sst_anomaly,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model51
COG_depth_fall,"s(sst_anomaly,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model52
COG_Lat_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(calfin_100m3,k=10)",model53
COG_depth_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(calfin_100m3,k=10)",model54
COG_Lat_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(pseudo_100m3,k=10)",model55
COG_depth_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(pseudo_100m3,k=10)",model56
COG_Lat_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(SSB,k=10)",model57
COG_depth_fall,"s(Heatwave,k=10)+s(GSI,k=10)+s(SSB,k=10)",model58
COG_Lat_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model59
COG_depth_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model60
COG_Lat_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model61
COG_depth_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model62
COG_Lat_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model63
COG_depth_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model64
COG_Lat_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model65
COG_depth_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model66
COG_Lat_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model67
COG_depth_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model68
COG_Lat_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model69
COG_depth_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model70
COG_Lat_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model71
COG_depth_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model72
COG_Lat_fall,"s(bt_anomaly,k=10)",model73
COG_depth_fall,"s(bt_anomaly,k=10)",model74
COG_Lat_fall,"s(sst_anomaly,k=10)",model75
COG_depth_fall,"s(sst_anomaly,k=10)",model76
COG_Lat_fall,"s(Heatwave,k=10)",model77
COG_depth_fall,"s(Heatwave,k=10)",model78
COG_Lat_fall,"s(GSI,k=10)",model79
COG_depth_fall,"s(GSI,k=10)",model80
COG_Lat_fall,"s(calfin_100m3,k=10)",model81
COG_depth_fall,"s(calfin_100m3,k=10)",model82
COG_Lat_fall,"s(pseudo_100m3,k=10)",model83
COG_depth_fall,"s(pseudo_100m3,k=10)",model84
COG_Lat_fall,"s(SSB,k=10)",model85
COG_depth_fall,"s(SSB,k=10)",model86
